Well ID,Avg Pump Difference,Area,Lateral Length,Fluid System,TVD,Development Strategy,DELAYED,BOUND_CODE,CODEV_POSITION,CODEV_FORMATION_POSITION,PARENT_CODEV_1050_WELL_COUNT,PARENT_IN_ZONE_MIN_HYPOT,PARENT_OUT_ZONE_MIN_HYPOT,PARENT_IN_ZONE_MIN_MAP_DIST,PARENT_OUT_ZONE_MIN_MAP_DIST,PARENT_1050_AVG_WELL_AGE,PARENT_1050_MEDIAN_WELL_AGE,PARENT_1050_WELL_COUNT,PARENT_3000_AVG_HYPOT_DIST,PARENT_3000_AVG_MAP_DIST,PARENT_3000_AVG_TVD_DIST,PARENT_3000_AVG_WELL_AGE,PARENT_3000_MEDIAN_WELL_AGE,PARENT_3000_WELL_COUNT,CODEV_IN_ZONE_MIN_HYPOT,CODEV_OUT_ZONE_MIN_HYPOT,CODEV_IN_ZONE_MIN_MAP_DIST,CODEV_1050_WELL_COUNT,CODEV_3000_AVG_HYPOT_DIST,CODEV_3000_AVG_MAP_DIST,CODEV_3000_AVG_TVD_DIST,CODEV_3000_AVG_WELL_AGE,CODEV_3000_MEDIAN_WELL_AGE,CODEV_3000_WELL_COUNT,Pressure Gradient (psi/ft) new,Soak Time,Avg Open Pressure,SD Open Pressure,Avg Close Pressure,SD Close Pressure
22,-1.48,Crater Lake,12700,Campbell,8005,Mountain Dew,1,11011000,Middle,Middle,4,899,413,894,130,4083,3106,3,1482,1422,208,4782,5935,7,797,1350,797,1,1734,1715,180,30.8,50,5,0.548908027,27,2634.323963,161.4,1919.710804,225.3
23,1.96,Crater Lake,12800,Campbell,,Coke,1,11111000,Edge,Edge,1,1268,1405,1268,25,,,0,2586,1504,1889,3300,3835.5,16,910,,910,1,914,914,12,0,0,1,0.548135939,24,2646.22424,144.6,2127.969411,226.2
24,24.21,Crater Lake,12800,Campbell,8035,Mountain Dew,1,10011000,Edge,Edge,4,712,420,710,109,4107,3105,3,1553,1499,246,4962,5707,9,704,2882,704,1,1719,1708,156,16.3,0,3,0.538487713,97,,,2075.985764,185.1
25,-0.16,Denali,10300,Campbell,10250,Coke,1,111000,Edge,Edge,0,,1375,,160,,,0,2382,1467,1737,5907,6499,10,1440,,1440,0,1440,1440,3,0,0,1,0.559608477,151,2889.833674,265.1,1210.401539,887.1
26,6.03,Dry Tortugas,12800,Williams,9295,Mountain Dew,1,10001101,Edge,Edge,4,1832,540,1823,356,4726,4725.5,2,1829,1786,221,4076,3999,9,542,627,541,2,586,437,277,1,1,2,,203,3579.913367,193.1,2522.649904,523.9
27,-5.8,Denali,10600,Campbell,10265,Coke,1,11100000,Edge,Edge,0,,1292,,139,,,0,1834,838,1554,3475,3475,8,1440,,1440,0,1440,1440,6,0,0,1,0.561943033,44,3136.370858,199.4,2252.870766,799
28,6.66,Denali,10300,Campbell,10250,Coke,1,111000,Edge,Edge,0,,1375,,160,,,0,2382,1467,1737,5907,6499,10,1440,,1440,0,1440,1440,3,0,0,1,0.556785485,209,3087.582724,313.1,1618.171604,577.4
29,117.26,Everglades,10900,Young,8160,Coke,1,10001000,Edge,Edge,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.453435,32,2203.2,155.9,1934.1,678.5
30,43.38,Everglades,10500,Williams,8160,Coke,1,10001000,Edge,Edge,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.480570763,115,2508.920546,155.3,2411.60484,736
31,,Everglades,10900,Williams,8160,Coke,1,10001000,Edge,Edge,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.489194852,105,2641.403093,182.2,2330.649788,712.4
32,-1.7,Glacier,10000,Campbell,8335,Mountain Dew,0,10001001,Middle,Middle,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.563370555,31,3194.020031,175.6,2330.800646,386.8
33,-2.26,Glacier,9800,Campbell,8335,Mountain Dew,0,10001001,Middle,Middle,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.563603648,37,3329.887249,209.8,2980.856098,595.5
34,-2.68,Glacier,9700,Campbell,8335,Mountain Dew,0,10001001,Middle,Middle,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.563778467,96,3327.534621,164,3149.661193,555
35,-1.31,Everglades,9600,Williams,8160,Coke,1,10001000,Edge,Edge,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.496985182,39,2829.617284,234.5,2608.790227,535
36,22.29,Grand Canyon,11900,Williams,8160,Coke,1,10001000,Edge,Edge,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.560853528,47,2895.781701,154.3,2045.250442,364.2
37,2.02,Everglades,10100,Williams,8160,Coke,1,10001000,Edge,Edge,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.495762089,102,2862.54691,211.7,2273.230704,694.7
38,-1.6,Everglades,9800,Williams,8160,Coke,1,10001000,Edge,Edge,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.497091697,101,2900.09162,158.9,2282.820439,710.3
39,35.92,Grand Canyon,12100,Williams,8160,Coke,1,10001000,Edge,Edge,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.55510365,124,2679.837799,177.3,1772.547649,308.3
40,5.66,Grand Canyon,7600,Campbell,9475,Orange Crush,0,111000,Edge,Edge,3,,,,,,,0,,,,,,0,787,411,787,3,1263,858,689,-1.4,-1.5,10,0.575120123,59,3182.050596,138.9,2574.363601,548
41,22.17,Grand Teton,12600,Williams,10675,Coke,1,11111000,Edge,Edge,1,1352,1235,1352,52,,,0,2468,1666,1653,2969,4331,27,1000,2528,1000,1,2181,1412,1228,-30.3,-30.5,4,0.493067694,48,3005.113167,133.9,2282.086287,517.5
42,,Grand Canyon,7600,Campbell,9475,Orange Crush,0,111000,Edge,Edge,3,,,,,,,0,,,,,,0,787,411,787,3,1263,858,689,-1.4,-1.5,10,0.577162336,124,3188.784956,153.3,2573.689381,522.2
43,21.61,Grand Teton,12600,Williams,10675,Coke,1,11111000,Edge,Edge,1,1352,1235,1352,52,,,0,2468,1666,1653,2969,4331,27,1000,2528,1000,1,2181,1412,1228,-30.3,-30.5,4,0.493275362,120,2971.983301,112.4,2142.592613,376.5
44,29.69,Grand Teton,12600,Williams,10675,Coke,1,11111000,Middle,Middle,2,2000,1091,2000,46,,,0,2514,1759,1629,2882,2248,26,1000,2489,1000,2,2587,1856,1531,7.1,33,9,0.490279015,185,2845.631012,105.7,2129.566772,363.4
45,16.52,Great Basin,9800,Campbell,10585,Coke,1,11111000,Middle,Middle,1,2563,1290,2563,7,,,0,2695,1672,1936,4972,4490,31,932,,932,1,1763,1763,9,26.7,40,3,0.535544531,148,3141.92177,277.2,1392.658407,214.7
46,-2.68,Great Sand Dunes,7500,Campbell,8485,Orange Crush,1,11111111,Edge,Edge,4,1374,623,1373,43,4002,4001.5,2,1870,1745,516,2019,1963,27,1298,321,1298,2,1073,890,396,1.2,1,5,0.566905359,37,3206.060085,141.6,3174.606856,387.9
47,26.71,Great Basin,9800,Campbell,10580,Coke,1,11111000,Middle,Middle,1,2501,1209,2501,0,,,0,2566,1521,1883,5240,6326,28,932,,932,1,1763,1763,8,-26.7,-40,3,0.531457553,216,3011.029665,188.6,1471.735591,235.3
48,34.34,Great Basin,9800,Campbell,10580,Coke,1,11111000,Middle,Middle,1,2501,1209,2501,0,,,0,2566,1521,1883,5240,6326,28,932,,932,1,1763,1763,8,-26.7,-40,3,0.528397333,283,3065.385433,287.3,1447.914205,221.2
49,-0.74,Big Bend,9800,Campbell,8985,Orange Crush,1,11111101,Edge,Edge,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.599503194,108,2699.694344,1336.6,1388.785071,738.6
50,8.38,Great Smoky Mountains,9900,Campbell,8485,Orange Crush,1,11111100,Edge,Edge,4,701,625,700,498,2484,2484,3,1677,1595,376,3242,2484,11,,555,,1,566,108,555,0,0,1,0.537465379,148,2720.173821,205,1779.642763,397.4
51,30.48,Great Smoky Mountains,9900,Campbell,8485,Orange Crush,1,11111100,Edge,Edge,4,701,625,700,498,2484,2484,3,1677,1595,376,3242,2484,11,,555,,1,566,108,555,0,0,1,0.528623678,163,2698.622709,121.6,1642.325348,422.7
52,,Great Sand Dunes,7500,Campbell,8480,Orange Crush,1,11110111,Middle,Edge,6,2618,508,2618,6,4002,4001.5,4,2141,1997,523,2559,1966,15,1297,305,1297,2,995,798,393,1.2,1,5,0.562309728,220,3082.436237,188.3,2862.491012,402.2
53,27.8,Great Smoky Mountains,10000,Campbell,8485,Orange Crush,1,11111100,Edge,Edge,4,701,625,700,498,2484,2484,3,1677,1595,376,3242,2484,11,,555,,1,566,108,555,0,0,1,0.529695884,228,2602.510781,115.7,1705.952043,483.3
54,-3.75,Guadalupe Mountains,10300,Williams,8485,Orange Crush,1,11111100,Edge,Edge,4,701,625,700,498,2484,2484,3,1677,1595,376,3242,2484,11,,555,,1,566,108,555,0,0,1,0.528340498,358,3051.250581,338.4,2137.722016,435.6
55,-1.36,Great Basin,12700,Campbell,8275,Mountain Dew,0,1110,Edge,Edge,2,,,,,,,0,,,,,,0,846,581,846,2,1317,1180,291,3.5,3.5,6,0.578119357,157,3144.844132,171.1,2918.588565,1057.2
56,-2.27,Great Basin,12600,Campbell,10315,Coke,1,11111000,Edge,Edge,0,2622,1211,2622,1,,,0,2601,1491,1933,3937,2974,36,1757,,1757,0,1761,1761,4,0,0,1,0.578508146,164,3139.15703,176.3,2437.832928,741.7
57,7.49,Great Basin,12700,Campbell,10315,Coke,1,11111000,Edge,Edge,0,2622,1211,2622,1,,,0,2601,1491,1933,3937,2974,36,1757,,1757,0,1761,1761,4,0,0,1,0.574338272,260,3075.345848,147.2,2844.454398,791.7
58,11.63,Hot Springs,10200,Campbell,8985,Orange Crush,1,11111101,Edge,Edge,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.543487253,211,3246.15202,144.1,3007.073721,426.5
59,-2.38,Guadalupe Mountains,10300,Williams,9295,Mountain Dew,1,10001101,Edge,Edge,4,1832,540,1823,356,4726,4725.5,2,1829,1786,221,4076,3999,9,542,627,541,2,586,437,277,1,1,2,0.538644008,367,3406.343871,157.1,2644.198823,336.7
60,33.8,Hot Springs,10300,Campbell,8985,Orange Crush,1,11111101,Edge,Edge,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.535104953,528,3009.242955,124.5,2425.083694,361.8
61,-1.2,Guadalupe Mountains,10300,Williams,8485,Orange Crush,1,11111100,Edge,Edge,4,701,625,700,498,2484,2484,3,1677,1595,376,3242,2484,11,,555,,1,566,108,555,0,0,1,,123,3441.765756,234.3,2362.696429,980
62,1.58,Grand Canyon,10100,Campbell,8650,Orange Crush,1,11011111,Edge,Edge,6,,496,,9,4190,4190,6,1679,1488,617,4118,4166,19,1200,,1200,0,1217,1217,4,0,0,1,0.560550671,15,3545.666018,170.7,2878.360677,279.1
63,0.1,Grand Canyon,9900,Campbell,8650,Orange Crush,1,11011111,Edge,Edge,6,,496,,9,4190,4190,6,1679,1488,617,4118,4166,19,1200,,1200,0,1217,1217,4,0,0,1,0.561165108,29,3545.595491,238.5,2777.491166,336.1
64,2.87,Joshua Tree,8200,Campbell,8335,Mountain Dew,0,10001001,Middle,Middle,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.557316247,53,3411.085879,264.4,2875.21182,820.7
65,6.98,Hot Springs,7400,Campbell,8335,Mountain Dew,0,10001001,Middle,Middle,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.536369705,28,3278.712697,183.6,3035.88471,389.3
66,0.4,Hot Springs,7400,Campbell,8335,Mountain Dew,0,10001001,Middle,Middle,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.53899411,36,3167.211166,211,2956.639677,562.8
67,60.35,Hot Springs,7400,Campbell,8335,Mountain Dew,0,10001001,Middle,Middle,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.515083309,99,2842.276922,191,2334.65693,453.8
68,26.48,Joshua Tree,8200,Campbell,9495,Orange Crush,1,11101001,Edge,Edge,6,892,669,888,632,1997,1996.5,2,1947,1923,219,1706,1996.5,8,864,340,864,4,1389,1137,602,0.9,1.5,14,0.547561566,132,3391.551227,207.3,2901.845333,756.3
69,25.11,Joshua Tree,8200,Campbell,8755,Orange Crush,0,11101001,Edge,Edge,4,1893,1515,1892,1501,,,0,2340,2335,134,3816,4040,6,858,461,858,4,682,419,388,1.5,1.5,4,0.548127593,211,3385.92728,285.2,2977.532359,966.7
70,22.57,Kings Canyon,10000,Campbell,8985,Orange Crush,1,11111101,Edge,Edge,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.55091589,393,2793.152774,208.9,2435.512097,966.9
71,,Great Basin,9800,Young,10545,Coke,1,11111000,Edge,Edge,0,1059,1272,1059,0,,,0,2628,1774,1733,5196,6229.5,24,1672,,1672,0,1672,1672,17,0,0,1,0.500517285,62,,,1554.261093,218.6
72,57.13,Great Basin,10000,Young,10550,Coke,1,11110000,Edge,Edge,0,2781,1253,2781,0,,,0,2518,1570,1754,5091,5363,18,1763,,1763,0,1792,1791,23,0,0,1,0.499729856,136,2903.189111,148.9,1572.188565,274
73,24.68,Great Basin,9800,Campbell,10545,Coke,1,11111000,Edge,Edge,0,1059,1272,1059,0,,,0,2628,1774,1733,5196,6229.5,24,1672,,1672,0,1672,1672,17,0,0,1,0.512255381,132,3079.502378,458.1,1542.878646,201.4
74,-0.46,Kings Canyon,9900,Campbell,8985,Orange Crush,1,11111101,Edge,Edge,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.562230068,387,,,1958.012228,393.3
75,49.95,Guadalupe Mountains,10400,Young,9070,Orange Crush,1,10101111,Edge,Edge,3,1286,511,1276,2,4955,4955,1,2105,2022,451,3089,2813,27,670,659,660,2,665,330,388,-0.5,-0.5,2,0.492984227,98,2956.58701,196.5,2377.513451,637.3
76,,Kings Canyon,9900,Campbell,8985,Orange Crush,1,11111101,Edge,Edge,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.562928571,435,3397.59696,261.9,2263.980877,370.3
77,18.09,Kings Canyon,9900,Campbell,8985,Orange Crush,1,11111101,Edge,Edge,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.554517436,155,3503.145764,287,2588.412089,679.6
78,26.83,Kings Canyon,10000,Campbell,8985,Orange Crush,1,11111101,Edge,Edge,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.553024696,113,3340.95279,198,2544.943509,409.5
79,72.63,Guadalupe Mountains,10600,Campbell,9070,Orange Crush,1,10101111,Edge,Edge,3,1286,511,1276,2,4955,4955,1,2105,2022,451,3089,2813,27,670,659,660,2,665,330,388,-0.5,-0.5,2,0.490793908,99,2810.163763,209,1716.51506,372.9
80,5.73,Big Bend,9700,Campbell,10075,Coke,1,11110000,Edge,Edge,1,2356,1139,2356,22,,,0,2510,1419,1888,5509,4808,26,1021,,1021,1,1050,1050,5,0,0,1,0.57073975,35,2688.771443,185.2,2235.463224,441.3
81,5.14,Big Bend,9700,Campbell,8765,Mountain Dew,0,11001000,Edge,Edge,4,757,2701,756,2634,4697,4697,1,2332,2317,165,2953,2884,4,893,635,893,3,1294,1153,368,1.2,1,5,0.570989915,107,2677.106456,158.3,2569.850589,480.7
82,1.47,Kings Canyon,10200,Campbell,8175,Orange Crush,1,10101111,Edge,Edge,7,1157,573,1155,75,5423,5689,6,2009,1621,937,4763,4605.5,26,1344,263,1343,1,958,876,175,0.7,1,3,0.518512647,50,2983.398776,182.9,2805.494621,556.9
83,86.53,Kings Canyon,10200,Campbell,8175,Orange Crush,1,10101111,Edge,Edge,7,1157,573,1155,75,5423,5689,6,2009,1621,937,4763,4605.5,26,1344,263,1343,1,958,876,175,0.7,1,3,0.485850131,48,2585.168365,198.1,2318.978438,617.4
84,38.63,Kings Canyon,10200,Campbell,8175,Orange Crush,1,10101111,Edge,Edge,7,1157,573,1155,75,5423,5689,6,2009,1621,937,4763,4605.5,26,1344,263,1343,1,958,876,175,0.7,1,3,0.504243436,124,,,2696.502663,927.1
86,9.41,Kings Canyon,7400,Campbell,10175,Coke,1,11111000,Middle,Middle,1,,1041,,17,1289,1289,1,2273,1469,1544,1375,1495.5,20,1249,2571,1249,0,2641,2327,970,6.7,3,9,0.486643219,28,3030.600808,122.8,2894.154482,380.2
88,4.52,Kings Canyon,7500,Campbell,10175,Coke,1,11111000,Middle,Middle,1,,1041,,17,1289,1289,1,2273,1469,1544,1375,1495.5,20,1249,2571,1249,0,2641,2327,970,6.7,3,9,0.488415961,88,2960.748549,150.7,2804.015668,481
89,15.09,Kings Canyon,7500,Campbell,8775,Orange Crush,1,11101000,Middle,Middle,6,1607,219,1606,10,1368,1367.5,4,1791,1682,378,2282,1390.5,14,696,,695,2,721,721,7,-0.5,-0.5,2,0.484584082,100,3064.953528,205.3,3064.953528,340.1
90,25.29,Mammoth Cave,15300,Campbell,8985,Orange Crush,1,11111101,Edge,Edge,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.503955815,123,3295.453913,241.3,2522.626225,396.5
92,29.13,Mammoth Cave,15300,Campbell,8985,Orange Crush,1,11111101,Edge,Edge,4,736,843,734,214,2496,2495.5,2,1938,1622,767,2031,2437,18,,624,,2,1074,790,626,0.7,1,3,0.501580903,134,3480.775229,225.4,2574.593043,195.1
95,29.48,Lake Clark,12400,Williams,8330,Orange Crush,1,10001111,Edge,Edge,5,,673,,143,3699,3704,3,1925,1456,1085,3334,3688,18,932,646,932,2,1340,1324,134,1.5,1.5,4,0.498599038,233,2768.887457,215.6,2371.409781,351
96,,Carlsbad Caverns,10100,Williams,8335,Mountain Dew,0,10001001,Middle,Middle,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.514748458,47,2756.766649,188.4,2073.483878,380.3
97,12.63,Carlsbad Caverns,10100,Williams,8335,Mountain Dew,0,10001001,Middle,Middle,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.511444884,50,2594.2212,310.2,1890.757538,455.1
98,102.51,Great Basin,12400,Young,10255,Coke,1,11111000,Edge,Edge,2,772,1000,772,0,4252,4251.5,2,2366,1481,1624,3652,1914,27,1748,,1748,0,1748,1748,24,0,0,1,0.517879525,87,2269.844556,128.3,1693.156406,556
99,92.25,Great Basin,12400,Young,10255,Coke,1,11111000,Edge,Edge,2,772,1000,772,0,4252,4251.5,2,2366,1481,1624,3652,1914,27,1748,,1748,0,1748,1748,24,0,0,1,0.52494356,89,2377.199546,120.3,1710.870419,523.8
100,6.34,Carlsbad Caverns,10100,Williams,8240,Coke,0,10001001,Middle,Middle,1,,2925,,2646,,,0,2971,2697,1245,1014,1014,1,717,,715,1,1656,1655,47,-4.8,-5,6,0.513847136,107,2730.315121,196.7,1933.705533,426
101,6.17,Carlsbad Caverns,10100,Williams,8240,Coke,0,10001001,Middle,Middle,1,,2925,,2646,,,0,2971,2697,1245,1014,1014,1,717,,715,1,1656,1655,47,-4.8,-5,6,0.513912062,120,2575.69115,239.3,2075.546549,527.9
102,7.24,Carlsbad Caverns,7300,Williams,8180,Coke,0,10001000,Middle,Middle,2,1213,,1208,,,,0,2194,2192,65,856,1020,5,578,,578,2,1129,1129,26,-1.3,-2.5,4,0.505226105,35,2781.318653,294.9,2295.844348,416
103,-4.14,Carlsbad Caverns,7300,Williams,8240,Coke,0,10001001,Middle,Middle,1,,2925,,2646,,,0,2971,2697,1245,1014,1014,1,717,,715,1,1656,1655,47,-4.8,-5,6,0.509502253,34,2906.213082,305.5,2247.58738,363.4
104,26.68,Carlsbad Caverns,7300,Williams,8160,Coke,1,10001000,Edge,Edge,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.497921332,91,2738.838669,217.1,1984.22885,327.7
